filepath,filename,page_count,keyword_context,is_handbook,error
./PDF-files/Wirtschaftsingenieurwesen/410_01.06.2023 Wirtschaftsingenieurwesen - Digital Production Management.pdf,410_01.06.2023 Wirtschaftsingenieurwesen - Digital Production Management.pdf,28,...urwesen  - 2 -      Inhal tsverzeichnis        1. Modulübersicht.....................................................,True,
./PDF-files/Wirtschaftsingenieurwesen/10_29-04-2023 Engineering Technisches Management.pdf,10_29-04-2023 Engineering Technisches Management.pdf,75,...Modulhandbuch des S tudiengangs  Engineering  (Bachelor of Engi...,True,
./PDF-files/Wirtschaftsingenieurwesen/117_09-05-2023 Studiengang Industrial and Business Systems.pdf,117_09-05-2023 Studiengang Industrial and Business Systems.pdf,145,...Modulhandbuch Studiengang Bachelor Industrial and Business Syst...,True,
./PDF-files/Wirtschaftsingenieurwesen/431_04.06.2023 Wirtschaftsingenieurwesen Elektrotechnik und Informationstechnik.pdf,431_04.06.2023 Wirtschaftsingenieurwesen Elektrotechnik und Informationstechnik.pdf,88,...Modulhandbuch     für M.Sc.  Wirtschaftsingenieurwesen  ET/IT (...,True,
./PDF-files/Wirtschaftsingenieurwesen/159_12-05-2023 Service Engineering.pdf,159_12-05-2023 Service Engineering.pdf,123,...Seite 1/123  Modulhandbuch zum Bachelor of Engineering (B.Eng.)  Service Eng...,True,
./PDF-files/Wirtschaftsingenieurwesen/17_29-04-2023 Internationales Wirtschaftsingenieurwesen.pdf,17_29-04-2023 Internationales Wirtschaftsingenieurwesen.pdf,335,"...res and courses can be found in the corresponding module handbook published separately. [15] Module Manual M.Sc. ""I...",True,
./PDF-files/Wirtschaftsingenieurwesen/355_26.05.2023 Wirtschaftsingenieurwesen.pdf,355_26.05.2023 Wirtschaftsingenieurwesen.pdf,145,...Modulhandbuch f ur den Studiengang / Module manual of the stud...,True,
./PDF-files/Wirtschaftsingenieurwesen/31_03-05-2023 Bauingenieurwesen.pdf,31_03-05-2023 Bauingenieurwesen.pdf,58,...diengangs Bau ingenieurwesen    4  Inhalt:    1.  Modulübersicht .................................... ...............,True,
./PDF-files/Wirtschaftsingenieurwesen/25_02-05-2023 Management [Bau Immobilien Infrastruktur].pdf,25_02-05-2023 Management [Bau Immobilien Infrastruktur].pdf,68,...Modulhandbuch (Module guide) – MBB 20 20...,True,
./PDF-files/Wirtschaftsingenieurwesen/254_19.05.2023 Wirtschaftsingenieurwesen.pdf,254_19.05.2023 Wirtschaftsingenieurwesen.pdf,138,...Fakultät Maschinenbau                 Modulhandbuch   Master Wirtschaftsingenieurwesen       Version...,True,
./PDF-files/Wirtschaftsingenieurwesen/239_17.05.2023 Wirtschaftsingenieurwesen.pdf,239_17.05.2023 Wirtschaftsingenieurwesen.pdf,94,"...2 Technik, Informatik und Wirtschaft             Modulhandbuch    des    Studiengangs    Wirtschaftsingenieurwes...",True,
./PDF-files/Wirtschaftsingenieurwesen/557_13.06.2023 Business Administration and Engineering.pdf,557_13.06.2023 Business Administration and Engineering.pdf,22,...Modulhandbuch Wintersemester 2023 611 Business Administration...,True,
./PDF-files/Wirtschaftsingenieurwesen/518_ 12.06.2023 Wirtschaftsingenieurwesen Online.pdf,518_ 12.06.2023 Wirtschaftsingenieurwesen Online.pdf,127,...Modulhandbuch Wirtschaftsingenieurwesen Bachelor Stand: 12.06.2...,True,
./PDF-files/Wirtschaftsingenieurwesen/23_02-05-2023 Logistics.pdf,23_02-05-2023 Logistics.pdf,125,...Fakultät of Business and Engineering           Module Handbook for the  Degree Programme   Logistics  (B.Eng.)...,True,
./PDF-files/Wirtschaftsingenieurwesen/517_12.06.2023 Wirtschaftsingenieurwesen online.pdf,517_12.06.2023 Wirtschaftsingenieurwesen online.pdf,124,...s stärkt                                          Modulhandbuch   des  Studiengang s    Wirtschaftsingenieurwesen...,True,
./PDF-files/Wirtschaftsingenieurwesen/368_27.05.2023 Wirtschaftsingenieurwesen.pdf,368_27.05.2023 Wirtschaftsingenieurwesen.pdf,97,...Modulhandbuch für den Studiengang Wirtschaftsingenieurwesen Bac...,True,
./PDF-files/Wirtschaftsingenieurwesen/529_12.06.2023 Wirtschaftsingenieurwesen Projektmanagement.pdf,529_12.06.2023 Wirtschaftsingenieurwesen Projektmanagement.pdf,29,...nd Engineering  / Project Management (M.A.)       Modulhandbuch          Modul  Ansprechpar tner  M01 Wirtschafts...,True,
./PDF-files/Wirtschaftsingenieurwesen/305_23.05.2023 Wirtschaftsingenieurwesen.pdf,305_23.05.2023 Wirtschaftsingenieurwesen.pdf,48,...Hochschule Konstanz  Modulhandbuch des Studiengang s  Fakultät  MA MWI/M.Eng.   B 2....,True,
./PDF-files/Wirtschaftsingenieurwesen/220_16-05-2023 Wirtschaftsingenieurwesen.pdf,220_16-05-2023 Wirtschaftsingenieurwesen.pdf,163,...Wirtschaftsingenieurwesen  (Bachelor)           Modulhandbuch       SPO  33      Stand  vom 04.05.2023    Inhal...,True,
./PDF-files/Wirtschaftsingenieurwesen/941_07.07.2023 Wirtschaftsingenieurwesen - Bau.pdf,941_07.07.2023 Wirtschaftsingenieurwesen - Bau.pdf,84,...Modulhandbuch     für den     Bachelor -Studiengang       „Wirt...,True,
./PDF-files/Wirtschaftsingenieurwesen/535_12.06.2023 Wirtschaftsingenieurwesen _Technik-Management.pdf,535_12.06.2023 Wirtschaftsingenieurwesen _Technik-Management.pdf,207,...esen (Technik-Management) Bachelor of Engineering Modulhandbuch Modulübersicht Grundstudium Grundlagen Ingenieurs...,True,
./PDF-files/Wirtschaftsingenieurwesen/245_19.05.2023 Wirtschaftsingenieurwesen.pdf,245_19.05.2023 Wirtschaftsingenieurwesen.pdf,108,"...Modulhandbuch Studiengang Wirtschaftsingenieurwesen, Bachelor o...",True,
./PDF-files/Wirtschaftsingenieurwesen/499_08.06.2023 Wirtschaftsingenieurwesen Maschinenbau.pdf,499_08.06.2023 Wirtschaftsingenieurwesen Maschinenbau.pdf,80,...Modulhandbuch   Wirtschaftsingenieur wesen    Maschinenbau...,True,
./PDF-files/Wirtschaftsingenieurwesen/326_24.05.2023 Wirtschaftsingenieurwesen.pdf,326_24.05.2023 Wirtschaftsingenieurwesen.pdf,199,...Modulhandbuch   Wirtschaftsingenieurwesen (WIN) Stand: Juni 2 0...,True,
./PDF-files/Wirtschaftsingenieurwesen/276_21.05.2023 Wirtschaftsingenieurwesen.pdf,276_21.05.2023 Wirtschaftsingenieurwesen.pdf,69,...kultät für Informatik und Ingenieurwissenschaften Modulhandbuch  Wirtschaftsingenieurwesen  Master of Sciences (M...,True,
./PDF-files/Wirtschaftsingenieurwesen/221_17-05-2023 Wirtschaftsingenieurwesen.pdf,221_17-05-2023 Wirtschaftsingenieurwesen.pdf,73,...Modulhandbuch          Fakultät Engineering     Wirtschaftsinge...,True,
./PDF-files/Wirtschaftsingenieurwesen/100_08-05-2023 Industrial Engineering und Management.pdf,100_08-05-2023 Industrial Engineering und Management.pdf,38,"...MBVS_202 2_VO_Modulhandbuch_M_IEM_Version 3, Sep. 2021 , Gölzer  Seite 1 von...",True,
./PDF-files/Wirtschaftsingenieurwesen/519_12.06.2023 Wirtschaftsingenieurwesen Online.pdf,519_12.06.2023 Wirtschaftsingenieurwesen Online.pdf,118,...Modulhandbuch Wirtschaftsingenieurwesen Bachelor Stand: 12.06.2...,True,
./PDF-files/Wirtschaftsingenieurwesen/351_26.05.2023 Wirtschaftsingenieurwesen.pdf,351_26.05.2023 Wirtschaftsingenieurwesen.pdf,86,...Modulkatalog   Wirtschaftsingenieurwese n - Bachelor of Engine...,True,
./PDF-files/Wirtschaftsingenieurwesen/403_01.06.2023 Wirtschaftsingenieurwesen Digitale Industrie.pdf,403_01.06.2023 Wirtschaftsingenieurwesen Digitale Industrie.pdf,80,...Modulhandbuch des Studiengangs   Wirtschaftsingenieurwesen Digi...,True,
./PDF-files/Wirtschaftsingenieurwesen/950_07.07.2023 Wirtschaftsingenieurwesen - Bauwirtschaft.pdf,950_07.07.2023 Wirtschaftsingenieurwesen - Bauwirtschaft.pdf,43,...Modulhandbuch      WIRTSCHAFTSINGENIEURWESEN -BAUWIRTSCHAFT   (...,True,
./PDF-files/Wirtschaftsingenieurwesen/33_03-05-2023 Business and Engineering.pdf,33_03-05-2023 Business and Engineering.pdf,174,...Fakultät of Business and Engineering         Module Handbook for the  Degree Programme   Business and Engineer...,True,
./PDF-files/Wirtschaftsingenieurwesen/419_03.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,419_03.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,44,...Elektrotechnik und Informatik                     Modulhandbuch   Bachelor Studiengang „Wirtschaftsingenieurwesen...,True,
./PDF-files/Wirtschaftsingenieurwesen/3_27-04-2023 Energiewirtschaft.pdf,3_27-04-2023 Energiewirtschaft.pdf,105,...Anlage 5   Modulhandbuch des Studiengangs   Energiewirtschaft   Bachelor...,True,
./PDF-files/Wirtschaftsingenieurwesen/551_13.06.2023 Wirtschaftsingenieurwesen_Verbundstudiengang.pdf,551_13.06.2023 Wirtschaftsingenieurwesen_Verbundstudiengang.pdf,108,...Modulhandbuch Bachelor of Science   Wirtschaftsingenieurwesen...,True,
./PDF-files/Wirtschaftsingenieurwesen/211_16-05-2023 Wirtschaftsingenieur in Nachhaltige Mobilität und Logistik.pdf,211_16-05-2023 Wirtschaftsingenieur in Nachhaltige Mobilität und Logistik.pdf,132,...Modulhandbuch   Wirtschaftsingenieur/in   Nachhaltige Mobilität...,True,
./PDF-files/Wirtschaftsingenieurwesen/246_19.05.2023 Wirtschaftsingenieurwesen.pdf,246_19.05.2023 Wirtschaftsingenieurwesen.pdf,112,"...Modulhandbuch Studiengang Wirtschaftsingenieurwesen, Master of...",True,
./PDF-files/Wirtschaftsingenieurwesen/38_03-05-2023 Data and Information Science.pdf,38_03-05-2023 Data and Information Science.pdf,43,...und an praktischen Beispielen evaluiert.     Teilmodul IT1.2 : Informationssysteme (Telekommunikation)   (Ko...,True,
