filepath,status,reason,score,matched_groups,matched_group_count
./PDF-files/Wirtschaftsingenieurwesen/36_03-05-2023 Business Management and Engineering.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/29_03-05-2023 Agribusiness.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/179_15-05-2023 Technisches Immobilienmanagement.pdf,scanned,,0.8,assessment;content;credits_workload;modul_title,4
./PDF-files/Wirtschaftsingenieurwesen/53_04-05-2023 Digital Industrial Management.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/364_27.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/242_19.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/534_12.06.2023 Wirtschaftsingenieurwesen - Technikmanagement.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/344_25.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/20_02-05-2023 Internationales_Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/455_06.06.2023 Wirtschaftsingenieurwesen für Elektrotechnik und Informationstechnik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/340_25.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/342_25.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/405_01.06.2023 Wirtschaftsingenieurwesen - Digital Engineering & Management.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/202_16-05-2023 Wirtschaftsingenieurwesen.pdf,scanned,,0.8,content;credits_workload;learning_outcomes;modul_title,4
./PDF-files/Wirtschaftsingenieurwesen/300_23.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/70_05-05-2023 Applied Research in Engineering Sciences.pdf,scanned,,0.6,content;credits_workload;modul_title,3
./PDF-files/Wirtschaftsingenieurwesen/238_17.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/396_30.05.2023 Wirtschaftsingenieurwesen_Berufsbegleitendes Studienprogramm des Graduate Campus Hochschule Aalen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/183_15-05-2023 Technologie-Entrepreneurship.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/447_05.06.2023 Wirtschaftsingenieurwesen - Energie und Gebäude.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/8_29-04-2023 Engineering and Management.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/60_04-05-2023 MA Energiewirtschaft.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
