filepath,filename,page_count,keyword_context,is_handbook,error
./PDF-files/Wirtschaftsingenieurwesen/442_05.06.2023 Wirtschaftsingenieurwesen - Energiesysteme.pdf,442_05.06.2023 Wirtschaftsingenieurwesen - Energiesysteme.pdf,27,,False,
./PDF-files/Wirtschaftsingenieurwesen/524_12.06.2023 Wirtschaftsingenieurwesen Produktionstechnik.pdf,524_12.06.2023 Wirtschaftsingenieurwesen Produktionstechnik.pdf,148,,False,
./PDF-files/Wirtschaftsingenieurwesen/391_30.05.2023 Wirtschaftsingenieurwesen (berufsbegleitend).pdf,391_30.05.2023 Wirtschaftsingenieurwesen (berufsbegleitend).pdf,47,,False,
./PDF-files/Wirtschaftsingenieurwesen/288_23.05.2023 Wirtschaftsingenieurwesen.pdf,288_23.05.2023 Wirtschaftsingenieurwesen.pdf,96,,False,
./PDF-files/Wirtschaftsingenieurwesen/309_23.05.2023 Wirtschaftsingenieurwesen.pdf,309_23.05.2023 Wirtschaftsingenieurwesen.pdf,195,,False,
./PDF-files/Wirtschaftsingenieurwesen/229_  17.05.2023 Wirtschaftsingenieurwesen.pdf,229_  17.05.2023 Wirtschaftsingenieurwesen.pdf,371,,False,
./PDF-files/Wirtschaftsingenieurwesen/273_ 21.05.2023 Wirtschaftsingenieurwesen.pdf,273_ 21.05.2023 Wirtschaftsingenieurwesen.pdf,40,,False,
./PDF-files/Wirtschaftsingenieurwesen/387_30.05.2023 Wirtschaftsingenieurwesen_Bautechnik und -management.pdf,387_30.05.2023 Wirtschaftsingenieurwesen_Bautechnik und -management.pdf,35,,False,
./PDF-files/Wirtschaftsingenieurwesen/110_09-05-2023 Interkulturelles Unternehmens und Technologiemanagement.pdf,110_09-05-2023 Interkulturelles Unternehmens und Technologiemanagement.pdf,33,,False,
./PDF-files/Wirtschaftsingenieurwesen/32_03-05-2022 Baumanagement und Baubetrieb.pdf,32_03-05-2022 Baumanagement und Baubetrieb.pdf,97,,False,
