filepath,exists,sustainability,nachhaltigkeit,entrepreneurship,unternehmertum,handlungsorientiert,sustainability_flag,entrepreneurship_flag
./PDF-files/Wirtschaftsingenieurwesen/578_14.06.2023 Unternehmenslogistik.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/531_12.06.2023 Wirtschaftsingenieurwesen (Schwerpunkt Management).pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/460_06.06.2023 Wirtschaftsingenieurwesen für Verfahrens- und Energietechnik.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/528_12.06.2023 Wirtschaftsingenieurwesen Produkt- und Innovationsmanagement.pdf,True,False,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/138_11-05-2023 MBA & Engineering.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/322_24.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/424_03.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,True,False,False,False,True,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/99_08-05-2023 Industrial Engineering und Management.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/365_27.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/279_21.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/83_08-05-2023 Entwicklung und Management im Maschinen und Automobilbau.pdf,True,False,False,True,False,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/50_04-05-2023 Digitale Technologien.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/503_08.06.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/357_26.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,True,True,False,False,True
./PDF-files/Wirtschaftsingenieurwesen/385_29.05.2023 Wirtschaftsingenieurwesen Bauingenieurwesen.pdf,True,True,True,False,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/118_09-05-2023 International Product and Service Management.pdf,True,True,False,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/376_29.05.2023 Wirtschaftsingenieurwesen Automotive (Recklinghausen).pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/171_12-05-2023 Systems Engineering.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/24_02-05-2023 Logistik.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/261_19.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/491_08.06.2023 Wirtschaftsingenieurwesen_Maschinenbau.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/165_12-05-2023 Sustainable Business and Technology.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/410_01.06.2023 Wirtschaftsingenieurwesen - Digital Production Management.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/293_23.05.2023 Wirtschaftsingenieurwesen.pdf,True,True,True,True,False,False,True,True
